pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
16132	WiFi Router	Arcadyan / Astoria	ARV7510PW	NULL	NULL	unknown 2018	¿			external image	NULL	lantiq	xway	mips_24kc	brnboot	Lantiq XWAY Danube	2	333	16	32	4	-	Infineon ADM6996I	¿	ADSL2+		Ralink RT2860T	b/g/n	-		rt2800pci	¿	¿	2x 2.0	¿		¿	¿	¿		Yes	¿	Yes	¿	2	¿	¿	toh:arcadyan:arv7510pw	View/Edit data	NULL	NULL	ARV7510PW	ARV7510PW	NULL			NULL	http://www.elisanet.fi/malaakso/misc/openwrt-lantiq-xway-ARV4510PW-squashfs.image	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16133	WiFi Router	Alpha Networks	ASL-26555	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=7bfab6e308a54d4fc2b99d9f80b4a4cd735de5b1	14.07	18.06.4	DSL modem	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT3052F	1	384	8	32	5	-	¿	Yes	ADSL2+		Ralink RT3052F	b/g/n	-	2x2 MIMO	rt2800pci	-	¿	1x 2.0	¿		¿	¿	¿		Yes	¿	¿	¿	¿	¿	12 VDC, 1.0 A	toh:alpha:asl26555	View/Edit data	NULL	NULL	ASL-26555	ASL26555	NULL			NULL	http://downloads.openwrt.org/releases/18.06.4/targets/ramips/rt305x/openwrt-18.06.4-ramips-rt305x-asl26555-8M-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-alphanetworks_asl26555-8m-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	
16134	WiFi Router	Allnet	ALL0305	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=5a694e09c8559cc257e5252cf2ca4af153215e30	10.03	19.07.5	NULL	ar71xx	generic	mips_24kc	RedBoot	Atheros AR7161	1	680	8	64	-	1	-	Yes	-		2x Atheros AR5413 (mini-PCI)	b/g	a		ath5k	-	¿	-	-		¿	¿	¿		¿	¿	¿	¿	¿	¿	PoE 802.3af	toh:allnet:all0305	View/Edit data	NULL	NULL	ALL0305	ALL0305	https://wikidevi.wi-cat.ru/Allnet_ALL0305			NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-all0305-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16135	WiFi Router	Allnet	ALL0239-3G	NULL	NULL	Discontinued			12.09	12.09	NULL	ramips	rt305x	mipsel_24kc	¿	Ralink RT3052F	1	384	8	32	5	-	¿	Yes	-		Ralink RT3052F	b/g/n	-	2x2 MIMO	rt2800pci	2	-	1x 2.0	-		-	-	-		Yes	¿	Yes	11	1	-	12 VDC, 1.0 A	toh:allnet:all0239-3g	View/Edit data	NULL	NULL	ALL0239-3G	ALL0239-3G	NULL			NULL	http://downloads.openwrt.org/attitude_adjustment/12.09/ramips/rt305x/openwrt-ramips-rt305x-all0239-3g-squashfs-sysupgrade.bin	NULL	NULL	GUI OEM		NULL		media:example:genericrouter1.png	Clone of Aztech HW550-3G
16137	WiFi Router	Airlink101	AR725W	NULL	https://fcc.io/MXF/-R971009GN	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=284ada8a3eeb1911caa08c1e3486969d6aa3e636	14.07	19.07.2	NULL	ramips	rt288x	mipsel_mips32r2	U-Boot	Ralink RT2880	1	266	4	32	5	-	IC+ IP175E	Yes	-		Ralink RT2872	b/g/n	a/n	2x3	unknown	-	-	-	-		-	-	-		Yes	57600 / 8N1	¿			-	12 VDC, 1.0 A	toh:airlink101:ar725w	View/Edit data	NULL	NULL	AR725W	AR725W	https://wikidevi.wi-cat.ru/Airlink101_AR725W			NULL	http://downloads.openwrt.org/releases/19.07.2/targets/ramips/rt288x/openwrt-19.07.2-ramips-rt288x-ar725w-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	Image build disabled in master with commit d7d46da938e3
16140	Single Board Computer	Gateworks	Laguna GW2382	NULL	NULL	Discontinued 2019		https://git.lede-project.org/?p=source.git;a=commit;h=b591e15f362de31f9fba8905347451b3122cff8c	14.07	19.07.5	NULL	cns3xxx	generic	arm_mpcore_vfp	¿	Cavium CNS3411	1	300	16	128	-	1	¿	No	-		1x mini-PCIe	-	-		unknown	-	¿	1x 2.0	-		¿	¿	¿		Yes	¿	¿	¿	¿	¿	8-42 VDC, PoE	toh:gateworks:start	View/Edit data	NULL	NULL	Laguna GW2382	Laguna GW2382	NULL	http://www.gateworks.com/product\\		http://downloads.openwrt.org/releases/19.07.5/targets/cns3xxx/generic/	http://downloads.openwrt.org/releases/19.07.5/targets/cns3xxx/generic/	http://downloads.openwrt.org/snapshots/targets/cns3xxx/generic/	http://downloads.openwrt.org/snapshots/targets/cns3xxx/generic/	unknown		unknown		media:example:genericrouter1.png	
16141	Single Board Computer	Olimex	A20-OLinuXino-LIME	NULL	NULL	Available 2019	olimex.com	https://git.lede-project.org/?p=source.git;a=commit;h=ddb98cb70f8ed4b1e44fa8680e185fa22c0b753c	15.05		NULL	sunxi	cortexa7	arm_cortex-a8_vfpv3	U-Boot	Allwinner A20	2	1000	microSD	512	1	-	-	¿	-		-	-	-		none	-	-	2x 2.0	1		VGA	other	-		Yes	115200 / 8N1	No	3	2	more than 20	5 VDC, 3.7 VDC LiPo battery	toh:olimex:a20-olinuxino-lime	View/Edit data	NULL	NULL	A20-OLinuXino-LIME	A20-OLinuXino-LIME	NULL	https://www.olimex.com/Products/OLinuXino/A20/A20-OLinuXino-LIME/	ftp://staging.olimex.com/Allwinner_Images/A20-OLinuXino/	http://downloads.openwrt.org/releases/19.07.5/targets/sunxi/cortexa7/openwrt-19.07.5-sunxi-cortexa7-sun7i-a20-olinuxino-lime-squashfs-sdcard.img.gz	NULL	http://downloads.openwrt.org/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-sun7i-a20-olinuxino-lime-squashfs-sdcard.img.gz	NULL	Sunxi installation		NULL		media:olimex:ax0-olinuxino-lime-1.jpg	
16142	WiFi Router	3Com	3CRWER100-75	NULL	NULL	Discontinued			14.07	14.07	NULL	ath25			RedBoot	Atheros AR2315A	1	180	4	16	5	-	IC+ IP175C	¿	-		Atheros AR2315A	b/g	-		unknown	-	-	-	-		-	-	-		Yes	¿	No	¿	¿	¿	12 VDC, 1.25 A	toh:3com:3crwer100_75	View/Edit data	https://forum.openwrt.org/viewtopic.php?pid=304399	NULL	3CRWER100-75	3CRWER100-75	https://wikidevi.wi-cat.ru/3Com_OfficeConnect_3CRWER100-75			NULL	NULL	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	Reported working acc. https://forum.openwrt.org/viewtopic.php?pid=304399
16144	WiFi Router	4G Systems	AccessCube (MeshCube)	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=a86978e2e6e3e53589a047bc026b835cc094b18a	8.09.2	8.09.2	NULL	au1000	au1500	mipsel_mips32	Yamon	Alchemy 1500	1	400	32	64	¿	¿	-	No	-	1	Atheros AR5213A (mini-PCI)	¿	¿		unknown	2	¿	1x 1.1 Device	-		NULL	NULL	NULL		Yes	115200 / 8N1	Yes	¿	¿	¿	¿	toh:4g.systems:access.cube	View/Edit data	NULL	NULL	AccessCube (MeshCube)	AccessCube (MeshCube)	NULL			http://downloads.openwrt.org/chaos_calmer/15.05.1/au1000/au1500/	http://downloads.openwrt.org/chaos_calmer/15.05.1/au1000/au1500/	NULL	NULL	TFTP generic		TFTP generic		media:example:genericrouter1.png	
16145	Travel Router - Battery powered	7Links	PX-4885	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=cd5f3584e2c2044c2cd53d723350a8d02b227aff	14.07	19.07.2	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT5350	1	360	8	32	1	-	-	Yes	-		Ralink RT5350	b/g/n	-		unknown	-	-	1x µUSB (power)	-		-	-	-		Yes	¿	¿	¿	¿	-	5 VDC (µUSB), 5200 mAh battery	toh:7links:px4885	View/Edit data	NULL	NULL	PX-4885	PX-4885	NULL	https://www.7links.me/3G-WLAN-Router-PX-4885-919.shtml		NULL	http://downloads.openwrt.org/releases/19.07.2/targets/ramips/rt305x/openwrt-19.07.2-ramips-rt305x-px-4885-8M-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-7links_px-4885-8m-squashfs-sysupgrade.bin	TFTP generic		TFTP generic		media:example:genericrouter1.png	4M Image build disabled in master with commit d7d46da938e3
